COID,CE_ID,Supplier,Address,City,ZIP,Country/Region,Head office,ZIP (head office),Standard,Certificate/Assessment lock date,Lock reason,Certificate/Assessment issue date,Product scopes,Lock history,Next audit to be performed
1462,7466E834,Bio-Zentrale Naturprodukte GmbH,Holzmühlenweg 4,Wittibreut,D-84384,Allemagne,Bio-Zentrale Naturprodukte GmbH,84384,IFS Food,28.04.2025,"3.2.10 Major:
 Work clothing is cleaned by employees in the company. The cleaned clothing is stored in open shelves and grey boxes, including on the cover. On the shelf in the men's changing room were 2 compartments with towels and on the shelf were work gloves and a towel next to cleaned work clothes. In the women's changing room, a worn coat was placed on the shelf next to freshly washed laundry. Hygienic storage is not possible.
 
 The following requirements are not ensured:
 - sufficient segregation between dirty and clean clothing at all times
 - avoidance of contamination until use.",18.04.2024,"5, 6, 2010",Locked: 28.04.2025,
1627,76391B8F,CAPOL GmbH,Otto-Hahn-Straße 10,Elmshorn,25337,Allemagne,,,IFS Food,13.05.2025,"5.5.2
 End products are weighed piece by piece on calibrated scales. Automatic filling
 systems are used or filling is carried out manually by employees. In some cases,
 weight corrections must also be carried out by employees on filling systems.
 There is no inspection plan and no associated documented quantity control per
 batch. The individual weights filled are not documented by the scales.
 Compliance with the correct nominal filling quantity can therefore not be verified
 due to a lack of records.
 No underfilling was detected in the audit. There is no evidence that the nominal
 filling quantity was not adhered to. This is a recording deficiency.",02.07.2024,10,Locked: 13.05.2025,
1794,4ACD20E0,Fude + Serrahn Milchprodukte GmbH & Co. KG,Goltzstraße 18,Berlin,13587,Allemagne,Fude + Serrahn Milchprodukte (80819) GmbH & Co. KG,20459,IFS Food,01.05.2025,"During IFS on site integrity check audit (29 04 2025) 2 deviations have been issue :
 1) KO rating for the requirement 4.12.1: The company has not implemented any procedures to prevent contamination with unwanted substances (paper, paint and ink) during the processing of reworked butter.
 2) KO rating for the requirement 4.18.1: During the traceability check carried out during the site inspection, it was found that the system does not include all records relevant for the company",14.06.2024,4,Locked: 01.05.2025,
3396,DF3841F0,Coli S.p.A.,Via F.Melotti 26,Barberino Tavarnelle FI,50028,Italie,,,IFS Food,29.04.2025,Site denies auditor’s access during the unannounced audit scheduled for 29-30/04/2025.,19.07.2024,8,Locked: 29.04.2025,
4162,D3E10E18,Patisserie Jack Heesen B.V.,Pijler 49,Brunssum,6446 AX,Pays-Bas,,,IFS Food,30.04.2025,"During the IOC audit completed on site on 24-April-2025 the following Major NCs and KO were identified:
  
 5.11.3 - KO - During the onsite check the following deviations were seen that were scored previous audit a D.
 3.2.1 At two places (Maintenance chart and in desk production line production area) packaging containing food supplements and candy were found. Due to no seen use and or any traces in the near vicinity of open products no higher deviation. During the onsite check ice-creams were seen stored in a freezer in the storage area. 
 4.10.1 Line clearing and cleaning of foot platform of the seen Lift truck were not sufficient cleaned (raw material parts). The inside of the multi pounds and a for conveyor belt of Hoppe line is not completely clean. No direct food safety risk, due no production at that line. Same deviations as seen during last audit, therefor upscaling to a D deviation. During the Onsite check the same line was not completely clean.
 4.10.2: During the audit tour at the warehouse of raw materials, at productionline ""stuksline"" seval spidercobs were noticed as well residue of former production runs were seen, Due to no seen product contamination and no other allergens in the seen cookies then in receipt present, no higher deviation. During the onsite check through the whole production and storage area numerous cob webs were seen also near the dough preparation
 
 4.13.4 – Major - During the onsite check a line not in use (used the day before) was checked. In 2 flour dispenser cob webs were seen and looking into the flour reservoirs. In one 3 moths were seen and in the other a moth and a weevil. Also near the line another moth was seen.",04.11.2024,6,Locked: 30.04.2025,
4954,211582FF,Meisters Wurst- und Fleischwaren Bautzen GmbH,Edisonstr. 17,Bautzen,2625,Allemagne,,,IFS Food,15.05.2025,Business operations have been discontinued.,06.03.2025,"1, 2, 2007",Locked: 15.05.2025,
6248,70ADA515,"Vitakraft pet care GmbH & Co. KG, Betriebstätte Bierden",Auf den Mehren 28,Achim,28832,Allemagne,Vitakraft pet care GmbH & Co. KG,28307,IFS Food,12.05.2025,"KO against Req. 4.18.1
 During an IFS Integrity on-site check a KO non-conformity had been raised due to the following reason. In the area where the sauce was made, there was a pallet with wheat flour T812, Vitakraft 25 kg with a best-before date of 08.10.2025 (manufacturer's label on the bag). The internal batch number is 202604 D14, material number 100805. The batch label for the batch used according to SAP was hanging on the wall. Material 100805, production date 21.04.2025, goods receipt date 25.04.2025, best before date April 26, batch number 202604 D25. This batch is also booked in SAP for the current production runs. This batch has a manufacturer's label with a best-before date of 21 October 2025 on the bags. 
 According to the IT system, there are no more goods (bags of wheat flour) from the batch with the manufacturer's best-before date of 8 October 2025 in the company. In reality, there were still three pallets in production and are currently being used. Traceability is not possible in this case.
 
 Both wooden sticks and plastic parts are used to manufacture the feed sticks. These are stored on the different production lines and are not labelled. There is no system in place to ensure batch traceability when the batch of sticks or plastic parts is changed. No corresponding documentation is provided.
 
 Foil and cardboard packaging (primary packaging with the complete declaration) are not recorded and traced by batch. It is possible to make a general distinction between consumption, but this does not provide proof of batch differentiation, especially if a batch change occurs on the same day.",30.01.2025,11,Locked: 12.05.2025,
8666,72CD9B4C,FRANCIA MOZZARELLA GmbH,Volkmarstraße 9-11,Berlin,12099,Allemagne,,,IFS Food,14.05.2025,"3.2.2 The hygiene requirements for entering production were not met by ONE employee. 
 4.2.1.3 There are no sufficiently detailed specifications for rework.
 4.18.1 Containers with alleged rework were not labelled. The identification of product batches and their relation to batches of raw materials was not possible.",06.12.2024,4,Locked: 14.05.2025,
11227,17B57C28,ADM WILD Nauen GmbH,Berliner Straße 119,Nauen,14641,Allemagne,,,IFS Food,05.05.2025,"1.2.1 As required, management must ensure that
 employees are aware of their responsibilities regarding
 food safety and product quality and that
 mechanisms are in place to monitor the effectiveness of their actions at
 . These mechanisms are identified and documented.
 The significant deficiencies identified during the site visit*:
 -for example numerous personnel hygiene facilities were not in
 sufficiently functional condition or personnel hygiene
 requirements were not observed in individual cases.
 -and significant deficiencies were identified with regard to the HACCP system/ hazard analysis and
 traceability requirements were not correctly implemented.
 - In In two cases, direct traceability of raw materials
 batches was not possible.
 -The Food Defense visitor documentation shows considerable
 gaps. show, however, that this responsibility was not taken into account to a sufficiently
 effective extent.
 *The list of deficiencies is an example; due to time constraints
 not all significant deficiencies identified can be listed here
 
 2.3.6.1 A hazard analysis for all possible and
 anticipated physical, chemical (including radiological
 Mayor and allergenic) and biological hazards shall be carried out as required. The specific control measures to be applied to control each significant hazard
 must be taken into account at
 However, no risk analysis or any
 minimization measures for potential related risks
 could be presented for the following processes regularly used in the company:
 -Delivery of raw materials requiring refrigeration (e.g. blocks of Beurre Demi- Sel; max. 6°C during transportation, storage and handling according to the raw material specification submitted to) the risk is not
 considered and there are no specifications and no implementation documentation,
 that raw materials requiring refrigeration must be checked for
 temperature upon delivery.
 -According to the company, goods requiring refrigeration (such as e.g. butter concentrate) are frozen on receipt and thawed again if required
 . The aforementioned process is neither described
 nor could a risk assessment be provided for this.
 -The defrosting process is only described in the event that frozen raw goods are defrosted in a heating cabinet, which is an exception in operational practice. The regular defrosting of frozen raw materials (e.g. drums with fruit puree or similar) practiced on a large scale is neither described nor
 considered in terms of risk. In one case, it was observed during the company tour that a pallox with a residual quantity of frozen strawberries, which had not all been used
 after initial thawing, was refrozen and then thawed again
 for further use. The process is neither described at
 nor considered in terms of risk.
 
 4.18.1 Traceability was not sufficiently ensured in the following cases:
 - Fruit preparation: there is liquid sugar in a raw material container; the container is only labeled with the
 information “400kg / 49FL”. Contrary to internal
 specifications, there was no label on the container that would have allowed the liquid sugar to be correctly
 assigned to a raw material batch
 . Such an allocation could also not be systemically presented in any other way at . Only the statement of an employee, which cannot be verified by, suggests that it belongs to
 a batch of raw materials.
  Line 5: Apparently, an approx. 3-liter white plastic bucket,
 which is intended for the use of intermediate products,
 is suspended under a pipe to collect dripping water
 . The bucket is labeled with a sticker of a specific
 raw material ID.",14.10.2024,"5, 6, 2009",Locked: 05.05.2025,
11229,CDAC3893,Buckl Geflügel GmbH & Co. KG,Ulmenweg 6,Wassertrüdingen,91717,Allemagne,,,IFS Food,05.05.2025,"Authority order: Prohibition of the slaughter of poultry due to animal welfare violations by employees. Production was stopped.
 The certificate can be reinstated if the competent authority issues the approval again.",05.08.2024,1,Locked: 05.05.2025,
