COID,CE_ID,Supplier,Address,City,ZIP,Country/Region,Head office,ZIP (head office),Standard,Certificate/Assessment lock date,Lock reason,Certificate/Assessment issue date,Product scopes,Lock history,Next audit to be performed
77476,323F5E7A,INOCENCIO BELTRAN Y CIA S.L.,C/ COMERCIO Nº1,ALMASSORA,12550,Espagne,,,IFS Food,02.05.2025,"""During its recertification audit, KO no. 2 (point 2.3.9.1) was scored with a 'D'. The company was unable to demonstrate proper monitoring of its PCC.Presence of unauthorized plant protection products or levels exceeding the permitted MRLs (Maximum Residue Limits). It is not possible to verify whether the dosage of the product used was correct.""",28.05.2024,5,Locked: 02.05.2025,
77476,323F5E7A,INOCENCIO BELTRAN Y CIA S.L.,C/ COMERCIO Nº1,ALMASSORA,12550,Espagne,,,IFS Food,02.05.2025,"""During its recertification audit, KO no. 2 (point 2.3.9.1) was scored with a 'D'. The company was unable to demonstrate proper monitoring of its PCC. Presence of unauthorized plant protection products or levels exceeding the permitted MRLs (Maximum Residue Limits).It is not possible to verify whether the dosage of the product used was correct.",28.05.2024,5,"Locked: 02.05.2025, Unlocked: 02.05.2025",
58158,1F11492D,SAGI S.R.L.,VIA ROMA 262,ATRIPALDA,83042,Italie,,,IFS Food,20.05.2025,The certificate has been suspended because the company has not provided the requested clarifications regarding a change in the scope of certification for which Certiquality has received notification from the market.,23.10.2024,"5, 6",Locked: 20.05.2025,
79846,F36355BD,Bracigliano Salumi di Claudio Calvanese & C. s.r.l.,"Via Cardaropoli, 20",Bracigliano (SA),84082,Italie,,,IFS Food,21.05.2025,"During the IFS Integrity on-site check, carried out on 15/05/2025 by an auditor appointed by IFS, the following were found: 3 non-conformities classified as major and 1 KO.",28.11.2024,"1, 2",Locked: 21.05.2025,
50805,F1529899,O.P. ESPERIDIO S.c.a.r.l.,CONTRADA POGGIO ROTONDO S.N.,PALAGONIA,95046,Italie,,,IFS Food,16.06.2025,The contract with Certiquality has been formally terminated at the company’s request.,09.01.2025,5,Locked: 16.06.2025,
1794,4ACD20E0,Fude + Serrahn Milchprodukte GmbH & Co. KG,Goltzstraße 18,Berlin,13587,Allemagne,Fude + Serrahn Milchprodukte (80819) GmbH & Co. KG,20459,IFS Food,20.06.2025,"During the re-certification audit completed on site on 16-17-18-19/06/2025 the following Major NCs and KO were identified:
 
 DEV:
 The concept for pest prevention and control is not effectively established.
 
 Evidence:
 In the outdoor storage area, where primary packaging and dry raw materials are also stored, traces of rodent droppings were found. In the inner area in front of a defective roller door, a number of stacked pallets of milk powder were stored. When the pallets were relocated and unstacked on request, contamination from bird droppings was found on the floor and on wrapped pallets in the front area of the roller door.
 The door has a defective rubber lip and does not close completely. There is no protection against the entry of pests.
 Risk assessment:
 The outer packaging of raw materials was partially contaminated and there was some bird droppings on the pallet film of the milk powder bags.",14.06.2024,4,Locked: 20.06.2025,
33170,C36268A5,Bodegas Esteban Martin S.L.,"Camino Virgen de Lagunas, s/n",Alfamen (Zaragoza),50461,Espagne,,,IFS Food,24.06.2025,"KO has been raised in clause 2.3.9.1 during re-certification audit on 23.06.25:
 According to the risk analysis carried out, the company has identified wine microfiltration and rinsing (bottle washing) as a CCP in the case of bottling wine in glass bottles. 
 A visit was made to the production area to see the bag-in-box wine bottling process during the first day of the audit; only the microfiltration CCP (CCP1) applies. 
 Wine has already started to be bottled and a record of the controls performed is requested. In the case of CCP1 microfiltration, which is defined to be controlled at the beginning, middle, and end, it is observed that nothing has been noted in the corresponding record FPR/03-08 rev_4. The CCP record is empty at the time of the on-site evaluation (approximately 13:10h) and there is no evidence that the PCC has been under control since the start of production (approximately 11:00h).",08.08.2024,8,Locked: 24.06.2025,05.08.2025 - 06.08.2025
79731,DF9FE880,MARISCOS MALLIÑO S.L,"CL MIRAFLORES, Nº 10 BAJO",SANXENXO,36969,Espagne,,,IFS Food,30.06.2025,"During IOC a NC was raised, 
 2.3.9.1. KO According to the HACCP of the company dated: 7 MAY 2025 V 11, the levels of chlorine in the settling tank (first chlorination) have been defined as CCP. 
 The critical limit established is: 0.5 - 2.5 ppm to minimize the presence of Salmonella and E. coli.
 According to the HACCP plan, the chlorine levels are checked on a daily basis before production starts.
 
 During the IOC, chlorine monitoring records were requested for 25 JUN 2025 prior to the start of production and were not available.
 The IP auditor requested to take a sample and analyze the chlorine levels and the result was 0.09 ppm.
 
 Chlorine monitoring records for the production day chosen for the traceability test, 15 MAY 2025, have been requested and were not available.",13.12.2024,2,Locked: 30.06.2025,
8429,A59B532A,Fallini Formaggi SRL,"Via Verdi, 16-18-20",GATTATICO (RE),42043,Italie,,,IFS Food,15.07.2025,"During current unannounced on site audit (14-15/07/2025), auditor releases a D at KO requirement 2.3.9.1:
 During site tour on packaging department, checking 10g bag line at 10:39 a.m. ( in which is going packaging of “VIP Premium Quality 10g” product - batch L5195 BBF 14/07/2026) and its CCP metal detector function record sheet of the day, the record sheet reports checks up to 1:37 p.m., with the relevant compliance and signature of the operator. However, these inspections were not actually performed at that time, highlighting a discrepancy between what was reported on sheet and the activities actually performed.",08.10.2024,4,Locked: 15.07.2025,
8603,91D44EFF,Wiesbauer Gourmet Gastro GmbH,Wiesbauer Straße 1,Sitzenberg-Reidling,3454,Autriche,Wiesbauer Österreichische Wurstspezialitäten GmbH,1230,IFS Food,21.07.2025,"2.3.9.1 KO
 CCP monitoring for the sous vide process in the production kitchen area (= small-volume production for bulk consumers/catering customers) is not under sufficient control; compliance with the defined CCP criteria cannot be conclusively demonstrated:
 According to internal specifications (=CCP3 definition; version25/status 27/06/2025), sous vide finished goods/products produced in the company must reach a product-specific defined minimum heating temperature as part of CCP monitoring (e.g. for chicken fillet sous vide >62°C or octopus sous vide >72°C), which must then be maintained for a product-specific minimum time (e.g. for chicken fillet sous vide > 2 hours or for octopus sous vide >16 hours); the product must then be cooled to below 10°C core temperature within a maximum of 2 hours. The product-specific requirements in this regard can be found in the document Overview of core temperatures 4_AA_#0498 (V1/10.07.2024).
 
 The company produces sous-vide products in two different production areas, in the so-called ‘large scale’ area where large quantities/volumes of sous-vide products are produced, which are primarily marketed as pre-packaged products in the food retail trade. For the sous-vide products produced here in industrial cooking cabinets, compliance with the relevant CCP criteria can be demonstrated in a traceable manner via electronic temperature/time records (=recording of heating temperature, holding time and cooling temperature with cooling times).
 To date, this has not been the case for small-batch sous vide production in the production kitchen, which is intended for bulk consumers/catering customers. Here, for each sous vide production batch in a conventional manual cooking cabinet (without automatic temperature/time recording), only the time at which the product reached the specified heating temperature is recorded; the re-cooling time required for the product to cool to a core temperature of less than 10°C after the heating process is also documented. The CCP test record described does not show that the product-specific holding time required by the CCP criterion has been complied with; there are also no other ways of checking whether the product-specific temperature-holding time parameter, which is decisive for product safety, has been complied with. Furthermore, the cooling time is not consistently traceable; only the required period is specified, not the beginning and end of the cooling time.",02.06.2025,"1, 7",Locked: 21.07.2025,
